z	velocity	temperature	rho
0.693409	127.429	405.115	0.644848
0.693509	127.344	404.905	0.64497
0.693609	127.323	404.683	0.645083
0.693709	127.425	404.521	0.645087
0.693809	127.431	404.334	0.645153
0.693909	127.487	404.161	0.645206
0.694009	127.619	403.995	0.645237
0.694109	127.612	403.771	0.645308
0.694109	127.611	403.771	0.645309
0.694209	127.65	403.605	0.645299
0.694309	127.606	403.424	0.645374
0.694409	127.605	403.272	0.645413
0.694509	127.526	403.085	0.645497
0.694609	127.506	402.919	0.645548
0.694709	127.493	402.745	0.645609
0.694809	127.454	402.551	0.645664
0.694909	127.406	402.363	0.645717
0.695009	127.336	402.157	0.645814
0.695109	127.258	401.953	0.645889
0.695209	127.336	401.819	0.645867
0.695309	127.302	401.633	0.64594
0.695409	127.218	401.439	0.646019
0.695509	127.209	401.277	0.64607
0.695609	127.175	401.088	0.646159
0.695708	127.227	400.908	0.646207
0.695809	127.395	400.76	0.646179
0.695909	127.327	400.524	0.646291
0.696009	127.31	400.359	0.646309
0.696109	127.289	400.213	0.646331
0.696209	127.239	400.034	0.646399
0.696309	127.195	399.844	0.64645
0.696409	127.115	399.638	0.646506
0.696509	127.101	399.473	0.64654
0.696609	127.133	399.328	0.64656
0.696709	127.168	399.177	0.646579
0.696809	127.153	399.004	0.646621
0.696909	127.102	398.834	0.646663
0.697009	127.136	398.689	0.646673
0.697109	127.1	398.49	0.646733
0.697209	127.168	398.337	0.646697
0.697309	127.201	398.174	0.646704
0.697409	127.176	397.99	0.646739
0.697509	127.163	397.817	0.646751
0.697609	127.193	397.667	0.646774
0.697709	127.443	397.59	0.646689
0.697809	127.418	397.391	0.646765
0.697909	127.396	397.199	0.6468
0.698009	127.44	397.034	0.646798
0.698109	127.467	396.863	0.646798
0.698209	127.504	396.707	0.646772
0.698309	127.563	396.562	0.646764
0.698409	127.598	396.38	0.646797
0.698509	127.674	396.216	0.646788
0.698609	127.784	396.078	0.646753
0.698709	127.867	395.942	0.646723
0.698809	127.94	395.805	0.646702
0.698909	127.919	395.643	0.646726
0.699009	127.974	395.51	0.646704
0.699109	127.887	395.344	0.646738
0.699209	127.833	395.187	0.646778
0.699309	127.717	395.005	0.646841
0.699409	127.455	394.778	0.646968
0.699509	127.532	394.658	0.646937
0.699609	127.606	394.539	0.64691
0.699709	127.398	394.33	0.647028
0.699809	127.339	394.174	0.647058
0.699909	127.349	394.048	0.64705
0.700009	127.289	393.892	0.647097
0.700109	127.155	393.697	0.647176
0.700209	127.113	393.527	0.6472
0.700309	127.168	393.356	0.647202
0.700409	127.281	393.212	0.647135
0.700509	127.271	393.044	0.647133
0.700609	127.282	392.882	0.647132
0.700709	127.359	392.732	0.647087
0.700809	127.374	392.557	0.647051
0.700909	127.45	392.396	0.646987
0.701009	127.506	392.222	0.646971
0.701109	127.62	392.062	0.646958
0.701209	127.842	391.95	0.646895
0.701309	127.949	391.83	0.646852
0.701409	127.981	391.706	0.646827
0.701509	127.973	391.564	0.646832
0.701609	127.903	391.4	0.646846
0.701709	127.853	391.248	0.646826
0.701809	127.926	391.125	0.646778
0.701909	127.921	390.973	0.646778
0.702009	127.953	390.844	0.646737
0.702109	127.996	390.711	0.646696
0.702209	128.145	390.619	0.646598
0.702309	128.092	390.466	0.646619
0.702409	128.131	390.33	0.646594
0.702509	128.066	390.176	0.646586
0.702609	127.936	390.034	0.646586
0.702709	127.854	389.913	0.646591
0.702809	127.822	389.8	0.646586
0.702909	127.803	389.674	0.646578
0.703009	127.803	389.537	0.646582
0.703109	127.941	389.421	0.646538
0.703209	128.118	389.298	0.646475
0.703309	128.279	389.157	0.646421
0.703409	128.411	389.013	0.646352
0.703509	128.568	388.888	0.646249
0.703609	128.714	388.774	0.646136
0.703709	128.607	388.629	0.646125
0.703809	128.49	388.52	0.646119
0.703909	128.375	388.416	0.646139
0.704009	128.312	388.304	0.646162
0.704109	128.262	388.175	0.646163
0.704209	128.21	388.025	0.646144
0.704309	128.336	387.908	0.646046
0.704409	128.295	387.753	0.646026
0.704509	128.368	387.655	0.64594
0.704608	128.278	387.521	0.645925
0.704609	128.293	387.525	0.645918
0.704709	128.131	387.366	0.645955
0.704809	128.09	387.236	0.64594
0.704909	128.025	387.097	0.645926
0.705009	128.089	386.991	0.645866
0.705109	128.178	386.883	0.645805
0.705209	128.279	386.763	0.645741
0.705309	128.279	386.619	0.645699
0.705409	128.188	386.464	0.64568
0.705509	128.15	386.323	0.645633
0.705609	128.194	386.212	0.645543
0.705709	128.143	386.09	0.645508
0.705809	128.13	385.978	0.645468
0.705909	128.17	385.867	0.64542
0.706009	128.15	385.723	0.645385
0.706109	128.193	385.584	0.645304
0.706209	128.35	385.484	0.645172
0.706309	128.365	385.353	0.645105
0.706409	128.447	385.24	0.645017
0.706509	128.412	385.116	0.644968
0.706609	128.307	384.993	0.644948
0.706709	128.304	384.886	0.644912
0.706809	128.319	384.772	0.644866
