zz	base	dV_V
-0.180000000    -4000.000000    0.000000000
0.008476906	170.978788	0.010165562
0.008576458	170.3747605	0.010418335
0.008679902	169.7438579	0.010695501
0.008737972	169.3882352	0.010857574
0.00881146	168.9366887	0.011069361
0.008841914	168.7490688	0.011159316
0.008997831	167.7840082	0.01163994
0.009032023	167.5714059	0.011749168
0.009091221	167.2054892	0.011935256
0.009093903	167.1888278	0.011943953
0.009095337	167.1799702	0.011948423
0.009167881	166.731348	0.012176671
0.009341704	165.6669189	0.012708341
0.009411889	165.2402869	0.012917495
0.009438283	165.0803109	0.01299533
0.009452326	164.9953023	0.013036559
0.009584006	164.2016931	0.013416983
0.009652217	163.7931069	0.013609653
0.009758666	163.158893	0.013904339
0.009778005	163.0441189	0.013957093
0.009826308	162.7580528	0.014087802
0.009980642	161.8597494	0.014471054
0.010022387	161.6200497	0.014568591
0.010075986	161.3143355	0.014689999
0.010114044	161.0986548	0.014773596
0.010151455	160.8877808	0.014853654
0.010168531	160.7917338	0.014889971
0.010187998	160.6825166	0.014930812
0.010238729	160.3992945	0.015034435
0.010476187	159.1005569	0.015465448
0.010676787	158.0379807	0.015760209
0.010728977	157.7667198	0.015826485
0.010770407	157.5529115	0.015876036
0.010782507	157.4907541	0.015888821
0.010799617	157.403137	0.015908662
0.010851036	157.141259	0.015964932
0.010866169	157.0645674	0.015980838
0.011058144	156.106797	0.016156787
0.011167753	155.5725174	0.016235765
0.011214526	155.3473036	0.016264715
0.011225094	155.2966527	0.016270861
0.011327102	154.8120689	0.016322735
0.011457961	154.2020114	0.016369479
0.011476194	154.1180419	0.016374226
0.011492048	154.0450715	0.016378199
0.011697705	153.1160905	0.01640298
0.011785509	152.7278045	0.016402824
0.012021151	151.7141187	0.016366193
0.012079404	151.4698999	0.016349003
0.012304629	150.5539877	0.016227176
0.012340798	150.4095731	0.016204464
0.012556633	149.5631694	0.016050815
0.012746175	148.8415903	0.015890296
0.01287323	148.3692716	0.015769302
0.012948895	148.0923244	0.015692137
0.013105818	147.5282796	0.01551995
0.013184172	147.248886	0.015433997
0.013389935	146.530532	0.01519681
0.013434081	146.3793086	0.015143758
0.013563772	145.9409711	0.014983482
0.013956752	144.6667128	0.014457542
0.014034584	144.4215307	0.014350327
